stop
2025-12-09 13:21:02,h
2025-12-09 13:21:02,e
2025-12-09 13:21:03,y
2025-12-09 13:21:04,[Key.space]
2025-12-09 13:21:05,h
2025-12-09 13:21:06,o
2025-12-09 13:21:06,w
2025-12-09 13:21:06,[Key.space]
2025-12-09 13:21:06,a
2025-12-09 13:21:07,r
2025-12-09 13:21:07,e
2025-12-09 13:21:07,[Key.space]
2025-12-09 13:21:08,y
2025-12-09 13:21:08,o
2025-12-09 13:21:09,u
2025-12-09 13:21:09,[Key.enter]
2025-12-09 13:21:26,w
2025-12-09 13:21:27,o
2025-12-09 13:21:27,r
2025-12-09 13:21:28,[Key.backspace]
2025-12-09 13:21:28,[Key.backspace]
2025-12-09 13:21:29,[Key.backspace]
2025-12-09 13:21:31,w
2025-12-09 13:21:31,o
2025-12-09 13:21:32,r
2025-12-09 13:21:32,k
2025-12-09 13:21:32,i
2025-12-09 13:21:32,n
2025-12-09 13:21:32,g
2025-12-09 13:21:33,[Key.enter]
2025-12-09 13:27:29,h
2025-12-09 13:27:29,e
2025-12-09 13:27:29,y
2025-12-09 13:27:29,[Key.space]
2025-12-09 13:27:31,h
2025-12-09 13:27:31,e
2025-12-09 13:27:31,l
2025-12-09 13:27:32,l
2025-12-09 13:27:32,o
2025-12-09 13:27:32,[Key.space]
2025-12-09 13:27:33,i
2025-12-09 13:27:33,[Key.space]
2025-12-09 13:27:33,a
2025-12-09 13:27:34,m
2025-12-09 13:27:34,[Key.space]
2025-12-09 13:27:35,f
2025-12-09 13:27:35,i
2025-12-09 13:27:35,n
2025-12-09 13:27:35,e
2025-12-09 13:27:35,[Key.space]
2025-12-09 13:27:36,i
2025-12-09 13:27:36,s
2025-12-09 13:27:36,[Key.space]
2025-12-09 13:27:37,i
2025-12-09 13:27:37,t
2025-12-09 13:27:38,[Key.space]
2025-12-09 13:27:38,w
2025-12-09 13:27:38,o
2025-12-09 13:27:38,r
2025-12-09 13:27:39,k
2025-12-09 13:27:39,i
2025-12-09 13:27:39,n
2025-12-09 13:27:39,g
2025-12-09 13:27:39,[Key.space]
2025-12-09 13:27:47,s
2025-12-09 13:27:48,t
2025-12-09 13:27:49,o
2025-12-09 13:27:49,p
2025-12-09 13:27:50,[Key.shift_r]
2025-12-09 13:27:50,?
2025-12-09 13:27:50,[Key.enter]
2025-12-09 13:28:04,s
2025-12-09 13:28:05,t
2025-12-09 13:28:05,o
2025-12-09 13:28:05,o
2025-12-09 13:28:06,p
2025-12-09 13:28:06,[Key.enter]
2025-12-09 13:29:20,h
2025-12-09 13:29:20,e
2025-12-09 13:29:20,y
2025-12-09 13:29:20,Key.space
2025-12-09 13:29:21,h
2025-12-09 13:29:21,e
2025-12-09 13:29:22,l
2025-12-09 13:29:22,l
2025-12-09 13:29:22,o
2025-12-09 13:29:22,Key.space
2025-12-09 13:29:22,h
2025-12-09 13:29:23,o
2025-12-09 13:29:23,w
2025-12-09 13:29:23,Key.space
2025-12-09 13:29:23,a
2025-12-09 13:29:24,r
2025-12-09 13:29:24,e
2025-12-09 13:29:24,Key.space
2025-12-09 13:29:25,y
2025-12-09 13:29:25,o
2025-12-09 13:29:25,u
2025-12-09 13:29:25,Key.space
2025-12-09 13:29:26,Key.enter
2025-12-09 13:29:34,k
2025-12-09 13:29:34,e
2025-12-09 13:29:34,y
2025-12-09 13:29:35,l
2025-12-09 13:29:36,o
2025-12-09 13:29:36,g
2025-12-09 13:29:36,g
2025-12-09 13:29:37,i
2025-12-09 13:29:37,n
2025-12-09 13:29:37,Key.space
2025-12-09 13:29:41,g
2025-12-09 13:29:41,Key.space
2025-12-09 13:29:42,w
2025-12-09 13:29:42,o
2025-12-09 13:29:43,r
2025-12-09 13:29:43,k
2025-12-09 13:29:43,i
2025-12-09 13:29:43,n
2025-12-09 13:29:43,g
2025-12-09 13:29:43,Key.space
